,people,product_page_number,aw,buy,val12,val15,effort
103,16,Page5 7,0.05469,0,0.86635,-1.16509,0.17502
104,16,Page5 8,-0.13172,0,0.09381,-0.50704,-0.4203
105,16,Page5 9,0.45008,0,0.40171,0.74596,0.07499
106,16,Page5 10,-0.21633,0,0.26461,-3.47303,0.23974
107,16,Page5 11,0.12861,0,0.70345,0.50326,-0.26604
108,16,Page5 12,0.3495,0,0.79143,7.58016,0.13954
109,16,Page5 13,-0.50959,0,0.20021,-3.99717,0.89648
110,16,Page5 14,-0.23245,0,0.38085,0.39106,-0.26339
111,16,Page5 15,-0.13393,0,0.91072,-0.94364,-0.0906
112,16,Page5 16,-0.10256,1,0.99402,-2.2697,-0.11925
113,16,Page5 17,-0.10541,1,0.43546,-0.01086,-0.44176
114,16,Page5 18,-0.49742,0,-0.02398,-0.20494,0.47437
115,16,Page5 19,-0.29335,0,0.21564,1.34259,0.11278
116,16,Page5 20,0.15792,0,2.59963,5.60985,-0.22642
117,16,Page5 21,0.41137,0,0.45858,0.59477,-0.25683
118,16,Page5 22,0.12869,0,1.10519,1.95915,0.12811
119,16,Page5 23,-0.25335,1,0.24748,-1.41014,-0.14294
120,16,Page6 0,-0.28544,0,0.52229,-3.32874,-0.47256
121,16,Page6 1,-0.378,0,-0.26027,-0.12877,0.423
122,16,Page6 2,-0.60049,0,-0.10664,-2.20459,-0.07796
123,16,Page6 3,-0.49245,0,0.60598,-2.09007,0.1428
124,16,Page6 4,-0.06775,0,0.9716,-2.91297,-0.40339
125,16,Page6 5,-0.20913,0,-0.4542,-0.28457,0.07568
126,16,Page6 6,0.08977,1,1.17086,-1.45359,-0.38627
127,16,Page6 7,-0.08998,0,0.02465,0.93499,-0.08573
128,16,Page6 8,-0.26379,0,-0.14568,-0.23332,-0.18632
129,16,Page6 9,-0.26229,0,0.09855,-0.55162,-0.22682
130,16,Page6 10,-0.22574,1,0.19772,-1.52045,-0.31483
131,16,Page6 11,0.39269,0,0.48474,1.1694,0.11006
132,16,Page6 12,0.02498,0,0.33267,1.09897,-0.16365
133,16,Page6 13,-0.06233,0,1.87101,-11.88234,-0.89641
134,16,Page6 14,-0.58665,0,0.15966,-6.65062,-0.00515
135,16,Page6 15,-0.55338,0,0.08455,-2.68453,-0.45082
136,16,Page6 16,-0.00121,0,1.96607,1.13933,0.133
137,16,Page6 17,0.09131,0,0.23063,0.39887,0.03343
138,16,Page6 18,0.20854,0,-0.26958,0.17755,-0.3788
139,16,Page6 19,-0.26266,0,0.3057,-0.72355,-0.17403
140,16,Page6 20,0.02181,0,0.49915,-0.21873,0.02312
141,16,Page6 21,0.1177,0,1.1912,0.15542,0.15098
142,16,Page6 22,-0.25771,0,0.61611,-1.72727,-0.61944
143,16,Page6 23,0.04667,1,0.32193,0.98353,-0.08365
0,17,Page1 0,0.29014,0,0.83468,4.8003,0.11785
1,17,Page1 1,0.18263,1,0.39472,0.11105,-0.03555
2,17,Page1 2,0.35625,0,-0.27114,1.08613,0.52931
3,17,Page1 3,0.06028,0,1.1745,-4.75381,0.1182
4,17,Page1 4,-0.55256,0,-0.25544,-0.7479,0.17324
5,17,Page1 5,0.34295,0,1.18515,-0.15362,0.81516
6,17,Page1 6,-0.50309,0,0.0107,-2.54787,-0.3041
7,17,Page1 7,0.01911,1,0.01046,-0.00405,-0.03926
